pdb,format,antigen,kd_nM,method,source,resolution,temperature_K,ph,species,pubmed_id,curated,curation_source,missing_loops_modeled,heteroatoms_removed,clashes_fixed,hydrogens_added
2vxt,Fab,interleukin-18,0.53,X-RAY DIFFRACTION,SAbDab,1.49,298.15,7.0,human,,true,biopython,true,true,true,true
4fqi,Fab,hemagglutinin ha2 | hemagglutinin ha1,0.9,X-RAY DIFFRACTION,SAbDab,1.71,298.15,7.0,human,,true,biopython,true,true,true,true
5myk,Fab,amyloid beta a4 protein,0.99,X-RAY DIFFRACTION,SAbDab,1.6,298.15,7.0,human,,true,biopython,true,true,true,true
6b14,Fab,rna (86-mer),5,X-RAY DIFFRACTION,SAbDab,1.64,298.15,7.0,human,,true,biopython,true,true,true,true
5tkk,Fab,hiv-1 fusion peptide residue 512-519,5.3,X-RAY DIFFRACTION,SAbDab,1.55,298.15,7.0,human,,true,biopython,true,true,true,true
4qyo,Fab,merozoite surface antigen 2,6,X-RAY DIFFRACTION,SAbDab,1.208,298.15,7.0,human,,true,biopython,true,true,true,true
4r3s,Fab,merozoite surface protein,6,X-RAY DIFFRACTION,SAbDab,1.7,298.15,7.0,human,,true,biopython,true,true,true,true
5myx,Fab,pyroglutamate-abeta pe3-18,6.8,X-RAY DIFFRACTION,SAbDab,1.492,298.15,7.0,human,,true,biopython,true,true,true,true
5alc,Fab,Ticagrelor,7.4,X-RAY DIFFRACTION,SAbDab,1.7,298.15,7.0,human,,true,biopython,true,true,true,true
3ifl,Fab,amyloid beta a4 protein,8.4,X-RAY DIFFRACTION,SAbDab,1.5,298.15,7.0,human,,true,biopython,true,true,true,true
5kvg,Fab,zika envelope diii,8.8,X-RAY DIFFRACTION,SAbDab,1.4,298.15,7.0,human,,true,biopython,true,true,true,true
4m1g,Fab,a33r | a33r,14,X-RAY DIFFRACTION,SAbDab,1.6,298.15,7.0,human,,true,biopython,true,true,true,true
4qxt,Fab,merozoite surface antigen 2,16,X-RAY DIFFRACTION,SAbDab,1.58,298.15,7.0,human,,true,biopython,true,true,true,true
5cin,Fab,peptide from mper region of hiv-1 env,18,X-RAY DIFFRACTION,SAbDab,1.7,298.15,7.0,human,,true,biopython,true,true,true,true
3wih,Fab,roundabout homolog 1,19,X-RAY DIFFRACTION,SAbDab,1.701,298.15,7.0,human,,true,biopython,true,true,true,true
5i8c,Fab,hiv-1 clade a bg505 fusion peptide (residue 512-520),25,X-RAY DIFFRACTION,SAbDab,1.54,298.15,7.0,human,,true,biopython,true,true,true,true
4hs6,Fab,e2-peptide,30,X-RAY DIFFRACTION,SAbDab,1.53,298.15,7.0,human,,true,biopython,true,true,true,true
5e2w,Fab,tau-phosphopeptide,31,X-RAY DIFFRACTION,SAbDab,1.5,298.15,7.0,human,,true,biopython,true,true,true,true
5kvf,Fab,zika envelope diii,32,X-RAY DIFFRACTION,SAbDab,1.4,298.15,7.0,human,,true,biopython,true,true,true,true
5kve,scFv,zika envelope diii,35,X-RAY DIFFRACTION,SAbDab,1.7,298.15,7.0,human,,true,biopython,true,true,true,true
3t0w,Fab,"1-(3-SULFOPROPYL)-4-[(1E,3E)-3-(1,3,3-TRIMETHYL-1,3-DIHYDRO-2H-INDOL-2-YLIDENE)PROP-1-EN-1-YL]QUINOLINIUM",50,X-RAY DIFFRACTION,SAbDab,1.501,298.15,7.0,human,,true,biopython,true,true,true,true
4qy8,Fab,merozoite surface antigen 2,64,X-RAY DIFFRACTION,SAbDab,1.353,298.15,7.0,human,,true,biopython,true,true,true,true
3kdm,Fab,TESTOSTERONE,100,X-RAY DIFFRACTION,SAbDab,1.5,298.15,7.0,human,,true,biopython,true,true,true,true
3uyr,Fab,"h-2 class i histocompatibility antigen, l-d alpha chain",127,X-RAY DIFFRACTION,SAbDab,1.7,298.15,7.0,human,,true,biopython,true,true,true,true
1q72,Fab,COCAINE,140,X-RAY DIFFRACTION,SAbDab,1.7,298.15,7.0,human,,true,biopython,true,true,true,true
3g5y,Fab,egfr peptide,154,X-RAY DIFFRACTION,SAbDab,1.59,298.15,7.0,human,,true,biopython,true,true,true,true
5kvd,Fab,zika envelope diii,266,X-RAY DIFFRACTION,SAbDab,1.65,298.15,7.0,human,,true,biopython,true,true,true,true
5yy4,scFv,c-c chemokine receptor type 5,370,X-RAY DIFFRACTION,SAbDab,1.59,298.15,7.0,human,,true,biopython,true,true,true,true
5a2k,Fab,"antigen tn, thr is covalently bound to galnac",450,X-RAY DIFFRACTION,SAbDab,1.7,298.15,7.0,human,,true,biopython,true,true,true,true
5e2v,Fab,tau phosphopeptide,831,X-RAY DIFFRACTION,SAbDab,1.64,298.15,7.0,human,,true,biopython,true,true,true,true
5n88,VHH,pc4 and sfrs1-interacting protein,1013,X-RAY DIFFRACTION,SAbDab,1.7,298.15,7.0,human,,true,biopython,true,true,true,true
5a2j,scFv,the naked peptide apdtrp,1400,X-RAY DIFFRACTION,SAbDab,1.65,298.15,7.0,human,,true,biopython,true,true,true,true
2xzc,Fab,8-METHYL-8-AZABICYCLO[3.2.1]OCTAN-3-YL PHENYLPHOSPHONATE,2300,X-RAY DIFFRACTION,SAbDab,1.36,298.15,7.0,human,,true,biopython,true,true,true,true
3ggw,Fab,peptide b1,2900,X-RAY DIFFRACTION,SAbDab,1.7,298.15,7.0,human,,true,biopython,true,true,true,true
3pp4,Fab,b-lymphocyte antigen cd20,7000,X-RAY DIFFRACTION,SAbDab,1.6,298.15,7.0,human,,true,biopython,true,true,true,true
2r1x,Fab,(3-DEOXY-D-MANNO-OCT-2-ULOSONIC ACID)-2-O-ALLYL,16,X-RAY DIFFRACTION,SAbDab,1.6,298.15,7.0,human,,true,biopython,true,true,true,true
2r1w,Fab,(3-DEOXY-D-MANNO-OCT-2-ULOSONIC ACID)-2-O-ALLYL,25,X-RAY DIFFRACTION,SAbDab,1.7,298.15,7.0,human,,true,biopython,true,true,true,true
2r1y,Fab,3-DEOXY-D-MANNO-OCT-2-ULOSONIC ACID,31,X-RAY DIFFRACTION,SAbDab,1.6,298.15,7.0,human,,true,biopython,true,true,true,true
2r2b,Fab,polysaccharide,63,X-RAY DIFFRACTION,SAbDab,1.6,298.15,7.0,human,,true,biopython,true,true,true,true
2r23,Fab,polysaccharide,190,X-RAY DIFFRACTION,SAbDab,1.65,298.15,7.0,human,,true,biopython,true,true,true,true
